year,rate,gk,R2
2019,yaw,0.2036266013228838,0.9414788148500918
2025,yaw,0.2619312099572467,0.8176319024444447
2019,course,0.16822226522615547,0.868046326605011
2025,course,0.2418239859304426,0.8307712637869671
