x,y,heading,us_signed,udp_signed,us_was_negative,x1_signed,x2_signed,y_signed
2.9899643607653847,0.1297998143198828,2.937191633974483,-0.135756988525391,0.220019989013672,True,2.9899643607653847,0.00622725173435104,0.1297998143198828
2.858917302043024,0.23855020240653957,2.924291633974483,-0.131131591796875,0.220025119781494,True,2.858917302043024,0.00563229705430296,0.23855020240653957
2.8160486930595874,0.2933500586877642,2.9068216339744826,-0.127752151489258,0.22003026962280298,True,2.8160486930595874,0.005088569154294411,0.2933500586877642
2.8378641173634556,0.21944990011490262,2.8927216339744826,-0.125618743896484,0.22003026962280298,True,2.8378641173634556,0.004872066688374679,0.21944990011490262
2.7326768927909684,0.1196001140595584,2.8760216339744824,-0.121334686279297,0.22003026962280298,True,2.7326768927909684,0.0042281206777413476,0.1196001140595584
2.655778478299247,0.054449951851541556,2.8464616339744824,-0.116555709838867,0.220035419464111,True,2.655778478299247,0.0030519960360971886,0.054449951851541556
2.607879914408425,0.29485046769524814,2.8169216339744825,-0.11317626953125,0.22004571914672902,True,2.607879914408425,0.0020405699965033164,0.29485046769524814
2.604890586377273,0.47774998802099944,2.7801616339744823,-0.11269844055175801,0.22004056930542,True,2.604890586377273,0.00027627304535636515,0.47774998802099944
2.5974180786652976,0.3544997235541949,2.751751633974483,-0.111845016479492,0.22004571914672902,True,2.5974180786652976,-0.0013510081597622413,0.3544997235541949
2.5345094235983363,0.30325028920200836,2.732491633974483,-0.10947257995605501,0.22004571914672902,True,2.5345094235983363,-0.0015717190908703658,0.30325028920200836
2.351406692239296,0.3275999335775239,2.6803316339744825,-0.102372436523438,0.22004571914672902,True,2.351406692239296,-0.003094367475519149,0.3275999335775239
2.195592207883673,0.3032498813283553,2.648881633974483,-0.0943846893310547,0.22004056930542,True,2.195592207883673,-0.0047065574455475035,0.3032498813283553
2.0417199367271426,0.24830002544010554,2.640241633974483,-0.0872674560546875,0.22004571914672902,True,2.0417199367271426,-0.005245821536563297,0.24830002544010554
1.8865391043154924,0.15089981644172568,2.611741633974483,-0.0804744720458984,0.22004571914672902,True,1.8865391043154924,-0.00660220915340438,0.15089981644172568
1.7589357537020116,0.055300052738235905,2.5922616339744824,-0.0759686279296875,0.22004056930542,True,1.7589357537020116,-0.007197708184792714,0.055300052738235905
1.646732436530487,0.07484985519675647,2.5638016339744825,-0.0718040466308594,0.22004056930542,True,1.646732436530487,-0.008118622646246673,0.07484985519675647
1.5509715165396614,0.0805998675349393,2.534691633974483,-0.0686123657226562,0.220035419464111,True,1.5509715165396614,-0.008856116521265948,0.0805998675349393
1.5132276237119717,0.13294973024225598,2.529951633974483,-0.0676566314697266,0.22003026962280298,True,1.5132276237119717,-0.009169339428095016,0.13294973024225598
1.4907162437042745,0.2255499289400369,2.522431633974483,-0.0676224517822266,0.22004056930542,True,1.4907162437042745,-0.009792349041495367,0.2255499289400369
1.4702360041570883,0.23065021996524138,2.5115516339744826,-0.0655572509765625,0.22004571914672902,True,1.4702360041570883,-0.01092455491058504,0.23065021996524138
1.3938683057056565,0.23809995491601654,2.5026416339744824,-0.0621437072753906,0.22004571914672902,True,1.3938683057056565,-0.011609870919830378,0.23809995491601654
1.2528258836170205,0.22804993335050128,2.493311633974483,-0.056204147338867194,0.22004571914672902,True,1.2528258836170205,-0.012412011184917783,0.22804993335050128
1.1380700789266243,0.18715004061494156,2.477171633974483,-0.0514934539794922,0.22004056930542,True,1.1380700789266243,-0.012793547748628946,0.18715004061494156
1.0705949315198482,0.06699978280134644,2.472921633974483,-0.0492745971679688,0.22003026962280298,True,1.0705949315198482,-0.013489486371484886,0.06699978280134644
0.9632416066956335,-0.05825005555176688,2.469501633974483,-0.0451100921630859,0.22003026962280298,True,0.9632416066956335,-0.014486946547938273,-0.05825005555176688
0.8846073767643201,-0.05660008783367587,2.4571216339744826,-0.0416623687744141,0.220035419464111,True,0.8846073767643201,-0.015236418115960968,-0.05660008783367587
0.8389102509075218,0.0297000973462076,2.449861633974483,-0.0401775360107422,0.22003026962280298,True,0.8389102509075218,-0.01634901767436436,0.0297000973462076
0.8749173341164606,-0.02864974962539435,2.4486116339744832,-0.0419525146484375,0.22003026962280298,True,0.8749173341164606,-0.016445935198840838,-0.02864974962539435
0.8712886568784463,-0.04244977923694293,2.441371633974483,-0.0426011657714844,0.22003026962280298,True,0.8712886568784463,-0.01728078852198778,-0.04244977923694293
0.8698777058392678,-0.024900023746837974,2.4416416339744824,-0.042447509765625,0.220025119781494,True,0.8698777058392678,-0.01698205365931344,-0.024900023746837974
0.8369275079621761,-0.12509990007924188,2.4506516339744824,-0.0426693725585938,0.220025119781494,True,0.8369275079621761,-0.017521344410171186,-0.12509990007924188
0.8353396820929517,-0.11434987701211341,2.453991633974483,-0.0429254150390625,0.220025119781494,True,0.8353396820929517,-0.018183556430428467,-0.11434987701211341
0.8803990783680977,-0.06280001220715192,2.456341633974483,-0.0447004699707031,0.220025119781494,True,0.8803990783680977,-0.018208530239196868,-0.06280001220715192
0.8767314301359374,-0.04189996736067059,2.4632716339744825,-0.045673294067382804,0.220009689331055,True,0.8767314301359374,-0.019473595337223388,-0.04189996736067059
0.9089820384731088,-0.036350034666114084,2.4589516339744826,-0.048199386596679696,0.220009689331055,True,0.9089820384731088,-0.020153726186954424,-0.036350034666114084
0.92157684370921,0.032399818944977454,2.456571633974483,-0.049735412597656195,0.220009689331055,True,0.92157684370921,-0.020542927411923272,0.032399818944977454
0.9050433523794794,0.018699789548250578,2.4678916339744825,-0.0505547332763672,0.220009689331055,True,0.9050433523794794,-0.020566824738887435,0.018699789548250578
0.911501809721834,-0.06964997874519341,2.475391633974483,-0.0513909912109375,0.220009689331055,True,0.911501809721834,-0.021350057214304986,-0.06964997874519341
0.8980986765345679,-0.08940002112404244,2.484751633974483,-0.049701309204101596,0.220009689331055,True,0.8980986765345679,-0.021401207472735065,-0.08940002112404244
0.9137657596784609,-0.07345007004729354,2.492211633974483,-0.050025634765625,0.220009689331055,True,0.9137657596784609,-0.021552254690078383,-0.07345007004729354
0.9486521766111697,-0.0993998339656379,2.5010616339744827,-0.0525686645507812,0.220009689331055,True,0.9486521766111697,-0.021817527975166142,-0.0993998339656379
0.9784706855247265,-0.11539986829793136,2.4972816339744828,-0.055299530029296905,0.220009689331055,True,0.9784706855247265,-0.022956306362577263,-0.11539986829793136
1.0029086761128745,-0.052400033521692535,2.4966316339744825,-0.0569380187988281,0.220009689331055,True,1.0029086761128745,-0.023085223014600465,-0.052400033521692535
0.9981293047579737,-0.08455010250802175,2.503511633974483,-0.05847412109375,0.220009689331055,True,0.9981293047579737,-0.02349600240698839,-0.08455010250802175
1.0453526354557514,-0.15375014662765096,2.503561633974483,-0.0611367034912109,0.220009689331055,True,1.0453526354557514,-0.02395626266851564,-0.15375014662765096
1.06117493778779,-0.09105017010019623,2.503591633974483,-0.0625704193115234,0.220009689331055,True,1.06117493778779,-0.02444029130676005,-0.09105017010019623
1.109601527588734,0.007600041580150929,2.498941633974483,-0.0646185302734375,0.220009689331055,True,1.109601527588734,-0.024194276333554778,0.007600041580150929
1.1660314229080369,0.0519499252679978,2.4999116339744827,-0.06903907775878909,0.220009689331055,True,1.1660314229080369,-0.024712647508995378,0.0519499252679978
1.1831719882465779,0.0766499782683745,2.5103516339744827,-0.0708312225341797,0.220009689331055,True,1.1831719882465779,-0.02392661115103577,0.0766499782683745
1.1635608733852363,0.045300043201347506,2.520101633974483,-0.0708995056152344,0.220009689331055,True,1.1635608733852363,-0.025157612139957007,0.045300043201347506
1.1826050264839882,0.03604994217170088,2.5215916339744826,-0.0705580902099609,0.220009689331055,True,1.1826050264839882,-0.025287132047264137,0.03604994217170088
1.1716440333749345,0.12475013250110933,2.5264716339744826,-0.06975593566894531,0.220009689331055,True,1.1716440333749345,-0.02475025604322866,0.12475013250110933
1.1508544824737728,0.00690044157401104,2.5360416339744827,-0.06815155029296881,0.220009689331055,True,1.1508544824737728,-0.02496661955205338,0.00690044157401104
1.0829279651309855,-0.18419996848157183,2.550291633974483,-0.0629458618164062,0.220009689331055,True,1.0829279651309855,-0.025067008572458846,-0.18419996848157183
0.939251903837581,-0.24420023288773507,2.5520416339744827,-0.0541730499267578,0.220009689331055,True,0.939251903837581,-0.02524469111370875,-0.24420023288773507
0.7190224971870173,-0.19465020238251185,2.542411633974483,-0.041764831542968804,0.220009689331055,True,0.7190224971870173,-0.025845874935912727,-0.19465020238251185
0.44549354212278414,-0.10765001569999555,2.5424516339744825,-0.0259600830078125,0.220009689331055,True,0.44549354212278414,-0.025917067150642636,-0.10765001569999555
0.11203702474501497,-0.2614996122137221,2.555251633974483,-0.0065711212158203105,0.220009689331055,True,0.11203702474501497,-0.025485993074264253,-0.2614996122137221
-0.248169729305181,-0.2585996059910016,2.603571633974483,0.0146640777587891,0.220009689331055,False,-0.248169729305181,-0.02445654704463902,-0.2585996059910016
-0.602065227324394,-0.33060031528599154,2.6225916339744826,0.0355956268310547,0.220009689331055,False,-0.602065227324394,-0.023903145746714326,-0.33060031528599154
-0.9745755168450637,-0.6075996987366565,2.662061633974483,0.0566805267333984,0.220009689331055,False,-0.9745755168450637,-0.022348673913521567,-0.6075996987366565
-1.370741785190747,-0.7285499582659227,2.7146816339744824,0.0777143859863281,0.220009689331055,False,-1.370741785190747,-0.020193148212600712,-0.7285499582659227
-1.732853225481096,-0.831049689450559,2.7785616339744825,0.0987481689453125,0.220009689331055,False,-1.732853225481096,-0.018081086935527707,-0.831049689450559
-2.1108266006411105,-0.9351499128246346,2.862401633974483,0.119850082397461,0.220009689331055,False,-2.1108266006411105,-0.015568943561338918,-0.9351499128246346
-2.4980066953501097,-1.0313509835731232,2.951151633974483,0.140900955200195,0.220009689331055,False,-2.4980066953501097,-0.012676849948024815,-1.0313509835731232
-2.8650840377550644,-1.1157496263429287,3.038451633974483,0.161951751708984,0.220009689331055,False,-2.8650840377550644,-0.010569099871702677,-1.1157496263429287
-3.2120388189907887,-1.1438996867439002,3.139331633974483,0.18303665161132798,0.220009689331055,False,-3.2120388189907887,-0.0077389537845735466,-1.1438996867439002
-3.571160834778506,-1.1874495725311967,3.254271633974483,0.2042578125,0.220009689331055,False,-3.571160834778506,-0.004331787857526908,-1.1874495725311967
-3.910113011911929,-1.279749770585255,3.376761633974483,0.225410842895508,0.220009689331055,False,-3.910113011911929,-0.0009705499432926652,-1.279749770585255
