vw,up,us,lt,aero_force,v_app,yaw_rate,yaw_rate_paper,gk,gk_paper,kite_vel,aoa,elevation,azimuth,cs,turn_radius,usva_3,yaw_rate_3,usva_4,yaw_rate_4,usva_5,yaw_rate_5,usva_6,yaw_rate_6,usva_7,yaw_rate_7,usva_8,yaw_rate_8,usva_9,yaw_rate_9,usva_10,yaw_rate_10
8.0,0.25,0.05,262.0,38939.3125,54.865116119384766,40.76776103722295,40.78294456584106,12.572779161368908,0.011109198880579853,54.30812072753906,3.9581410884857178,0.5338202714920044,0.05078393593430519,0.07615950363000173,2.5692569461017554,0.07630404285252403,0.4670831683229228,0.6462887187276455,11.608232904653079,1.931584074906588,26.928634643554698,2.4419918685036643,34.83864831142739,2.437475321354767,30.57793038790342,2.3531158656438222,27.230709888896026,2.33775634491038,27.779666087666527,2.435482006596897,31.576463042712632
8.0,0.25,0.08,262.0,27660.130859375,58.94498825073242,84.32102462089652,84.30076642653682,17.95359847598684,0.3829379527168617,58.39873504638672,1.502010464668274,0.574243426322937,0.40667521953582764,9.485195334330875e-5,1.4815082102769621,0.10660568226699205,0.6392427033088246,0.9518980250550345,16.32638372358729,2.769593693397226,38.20633309786436,3.475395366366734,44.341443171266626,3.589124805962166,41.82126654953251,3.7145084057804536,47.98112212634481,3.998380015280824,54.018904889216245,4.342261163333835,51.685495845607086
8.0,0.25,0.1,262.0,27679.126953125,49.52251434326172,70.98961801997929,72.5179798311685,13.162462035220386,-2.480926353954194,48.610374450683594,5.244726181030273,15.246599197387695,4.951300144195557,0.03408390927960964,40.904018833011115,0.13689886872513413,0.8114905313390202,1.2624675686124753,21.091565304115157,3.5287690341612183,49.24503576560095,4.338137994741357,52.91859861280094,4.652635104912675,59.223310126632924,5.0581646433990475,67.03066466284587,5.474500933853347,63.76670462186225,5.566670083632246,73.14487144595297
8.0,0.25,0.12,262.0,31820.28125,50.565956115722656,86.90567197133812,86.89326991506124,12.982947514992137,-4.318816633794548e-5,49.96052169799805,4.311713218688965,0.11283738166093826,0.01878013275563717,0.032627234396425425,1.0319576438213354,0.16877255689559048,1.0856494038808542,1.5982575335991058,26.078697423465933,4.274891830407663,57.538315819912235,5.092076730393883,63.55009985751794,5.46160480986771,77.3783899526127,5.93536993372012,73.9685158651384,6.174250291605799,83.2448190157532,6.002591341419826,79.57919761782796
8.0,0.25,0.15,262.0,26319.3515625,46.232337951660156,94.48631282807034,94.46766303860562,13.088326276235295,0.20061732838071739,45.56974792480469,4.820598125457764,0.07798155397176743,-0.049678102135658264,0.01995465335340644,0.07227337077498164,0.19953598891282537,1.289474541535143,1.9227990101781636,30.524189003178343,4.989210147452272,63.4690850679992,5.813568181120826,72.96421989065702,6.253059087306131,85.28745057152918,6.674615248692507,81.59954133580952,6.660058515065004,92.8309005987449,6.3858190917373685,78.9234999359632
8.0,0.25,0.18,262.0,18611.416015625,46.09330749511719,130.11887992626222,130.0959764536062,15.904398591975466,-0.018569905972757775,45.41695022583008,1.7318735122680664,0.0989021435379982,-0.006161626894026995,0.06360679160393119,0.367619438282553,0.23019617511730975,1.4854608280736894,2.2511020420896655,34.72610633881366,5.683724937489016,70.48274681216382,6.438962860681081,83.17666475890108,6.796657060969091,85.84544197457733,7.129381562226443,89.9687219838628,6.957348752259052,90.16272372886793,6.777918505272372,85.1915003041753
8.0,0.25,0.2,262.0,18564.79296875,44.997562408447266,134.9999804720047,134.9989813317954,14.827088786761832,-0.17366481354403865,44.305938720703125,2.1709847450256348,0.11133087426424026,0.18875251710414886,0.06551942873778227,0.20382919114483664,0.2609277168917552,1.684632934019214,2.5835461704270237,38.55340156398834,6.416749226932165,78.03638020499805,7.588108410249307,112.55371594038158,8.10277967478744,114.3277828028944,7.888982369621915,119.27745381339659,7.633850565956211,109.61695936859641,8.144452671223819,115.80364289830953
8.0,0.25,0.22,262.0,16740.650390625,42.439579010009766,133.26482044659224,133.2475510886676,13.82493321383681,-0.007650132410294623,41.70448303222656,2.936265230178833,0.08651827275753021,0.004908820614218712,0.06997421603038272,0.19148682499283234,0.29159521435029584,1.8754904851561687,2.918140113279642,42.557138067777025,7.139706554701868,87.13565638807947,8.12968653050943,110.04773749679809,8.583481414134841,113.60433609759221,8.47670764970121,117.86363945632688,8.231191705490769,109.90812708119888,8.75128811276944,115.89849753458003
8.0,0.25,0.25,262.0,13778.6552734375,37.644954681396484,121.5003944655057,121.47971204069795,12.797866867060176,0.1303056714867784,36.81834411621094,4.753714084625244,0.11768218874931335,0.06443964689970016,0.061393626631533395,0.0839269281638209,0.322313959263154,2.071647612286396,3.2527693226351024,46.1353346949718,7.765349171331486,92.42982082679617,8.46877883174553,110.72761410572484,8.655239910916782,110.14560887070947,8.420159808235374,109.38306464523576,8.33720864102235,108.26963330878597,8.73487105992733,109.94817014600422
8.0,0.25,0.28,262.0,12961.357421875,33.59297180175781,106.93224631832194,106.91408192784472,11.440938190244882,-0.015444321164059319,32.67472457885742,7.772242546081543,0.13763970136642456,0.022983944043517113,0.027660560129614535,0.2700832549216425,0.3529698756800733,2.265155010047506,3.589263195818507,49.592398659127696,8.399744968768347,98.70008374823892,8.942486269985208,111.19543356973611,9.05083660505193,111.90043465035855,8.858170193226588,108.55620837602471,8.786878899433608,107.61147420914457,8.93444157277347,101.26963130763332
8.0,0.25,0.3,262.0,11860.857421875,32.58027267456055,107.96567759540076,107.94712886277277,10.939804048630117,-0.0024129202714563594,31.632999420166016,7.96027135848999,0.1271558552980423,0.027441279962658882,0.03521158247833897,0.2739765526613823,0.38358995398316503,2.4559953246937423,3.9252605083797896,53.18415665235679,9.033230525567847,103.45952018362571,9.407099513634027,110.12203028944667,9.297477904815675,107.37721927830424,9.027086836548127,100.35677550268966,8.985424704525133,99.5128694127818,9.220999756827133,95.9812451972337
8.0,0.25,0.32,262.0,10907.31640625,31.636980056762695,108.44958131978004,108.43144973200427,10.462461339145758,-0.08166768129661844,30.660390853881836,8.134671211242676,0.11717371642589569,0.004391268827021122,0.041802852883451855,0.28938502285623113,0.41419749318193966,2.6466637434529483,4.265505729843432,56.38743908678903,9.608656317281017,106.45600365810701,9.839990362093403,109.08592349193131,9.656533356541857,107.73400478675711,9.397880832833415,99.27720366931364,9.398438460749833,100.36725153688528,9.693004241532309,97.15978403560457
8.0,0.32,0.05,262.0,11628.9287109375,36.52009963989258,25.869011252030884,25.885598981002783,13.428035300306453,0.021966611585045547,35.67789077758789,1.53453528881073,0.500078022480011,0.12069879472255707,0.04083881375150344,0.2165487214604082,0.09823910895859474,0.41036215351253263,0.7993857424863994,8.301431360791943,1.539194653941262,22.80748304773548,1.5796736571906136,25.88980565305615,1.4831555557856382,22.10951633140688,1.4070615214868771,18.751823550365025,1.3608364192083744,16.577205970639106,1.34562373372962,15.70175170898439
8.0,0.32,0.08,262.0,11948.970703125,37.09613800048828,36.51979715620311,36.5029797347858,12.658218384627128,0.4076225107405573,36.26759719848633,1.5236549377441406,0.06637687981128693,0.19552704691886902,0.027587916967996194,0.03411463862477099,0.13805659070439372,0.5878304396985008,1.1732445305710273,12.147368114502711,2.2773133888444317,31.134256769399194,2.339408092780047,31.746188304463356,2.230493412752065,26.475084648757672,2.1862230774074707,24.09534391809685,2.212577768312208,24.79387627273312,2.3045177675512902,27.89121033715422
8.0,0.32,0.1,262.0,11857.724609375,37.031558990478516,45.30212249781287,45.29117732417336,11.913713867376904,0.07808301531719905,36.20045852661133,1.5563180446624756,0.36428722739219666,0.07215146720409393,0.015782731310432514,0.572800652374701,0.17800925267795714,0.7658180777655275,1.5479139325123523,15.872795503647602,3.0145209317727906,37.89857145215643,3.102664508375887,36.00287265464907,3.0030439810259297,31.346433045434154,3.029024755739195,32.56875960553282,3.1651784513437575,37.856095110783855,3.3793018069152017,41.8443723584785
8.0,0.32,0.12,262.0,11634.416015625,36.73152542114258,53.09634103951425,53.08767725682118,11.332250833166835,0.14482219892032985,35.8935432434082,1.631661057472229,0.10780604928731918,0.10139376670122147,0.004782421062928282,0.5633156431224604,0.21776080969499303,0.9476525605213448,1.9221857408520864,19.502284878590075,3.74688663206579,43.479027669937864,3.850085866849068,39.993213591028415,3.7809442392563937,37.72383893122438,3.8960069047697727,43.42692891105282,4.140478201133626,48.5709618740395,4.385168634187214,46.00467869492833
8.0,0.32,0.15,262.0,11372.24609375,36.332252502441406,60.19743779682551,60.18485803374194,10.870244628928065,0.04020460998705024,35.48484420776367,1.7500468492507935,0.23145049810409546,0.08113117516040802,0.005708054365266845,0.2853258225150617,0.2574669885384524,1.1340374768268868,2.2960824023286253,23.04973113732261,4.477011526638819,48.472278157218526,4.589127459349009,43.983637074955155,4.548748920205325,45.488058621766115,4.775729964320796,53.460208079854056,5.098448959744844,53.52189361071981,5.293867413844366,53.512963466957025
