vw,up,us,lt,aero_force,v_app,yaw_rate,yaw_rate_paper,gk,gk_paper,kite_vel,aoa,elevation,azimuth,cs,turn_radius,usva_3,yaw_rate_3,usva_4,yaw_rate_4,usva_5,yaw_rate_5,usva_6,yaw_rate_6,usva_7,yaw_rate_7,usva_8,yaw_rate_8,usva_9,yaw_rate_9,usva_10,yaw_rate_10
9.0,0.18,0.05,268.0,4454.71337890625,16.122173309326172,4.4233417558662085,4.320674658402451,5.372884844028413,-0.9506011416814751,13.64062213897705,27.21468734741211,2.952848434448242,-6.558353424072266,0.12849129804498036,32.953838460449134,0.08175076509291465,0.42471747906481655,0.4409882062918797,2.838221373128109,0.7909938721671707,4.697574083922339,0.8336258511897883,5.47737121582031,0.8186166579022728,5.673836254682694,0.8046941340066567,6.01975738025103,0.7893040500242706,6.670535978723751,0.7780872401727456,7.235450119268706
9.0,0.18,0.08,268.0,6586.07373046875,19.413232803344727,17.30391288951841,17.31305257541941,11.620615456377916,0.6524030255172905,17.405752182006836,29.138179779052734,0.14814116060733795,0.5081906318664551,0.10798709920355806,0.5652802332599645,0.11161630809019062,0.5852117792504735,0.6541558433114854,4.233497019673957,1.1846260810575757,7.520942218968128,1.2460176773810785,8.877895855512776,1.2210792481104518,8.816173741074861,1.1985483200427531,8.7705756015465,1.1728348240042685,8.882528836609893,1.153480483352839,8.904100011606692
9.0,0.18,0.1,268.0,6871.29345703125,19.68903350830078,24.94107996974463,24.936145291877942,12.442849667025266,0.0874633433510677,17.71240234375,29.004837036132812,-0.03100181184709072,-0.034968577325344086,0.09421093400217705,1.6314620659091879,0.14147730876771678,0.7463530597628142,0.8676295561647561,5.638402133691504,1.5803824100315929,10.923442840576167,1.6594922057246504,12.759449442879093,1.6261753312248413,11.895097826347971,1.5980531836624434,11.078837660492457,1.566281182682915,10.602864750096069,1.5428283302089332,10.080526383196736
9.0,0.18,0.12,268.0,7026.87744140625,19.849334716796875,31.272009678074497,31.265783588580543,12.418569866037314,-0.3716627997296088,17.890722274780273,28.801054000854492,-0.21489663422107697,-0.08485335111618042,0.08223498487556966,0.0299322714479742,0.17301217693982618,0.9977299268128444,1.0829107693012163,7.156573944404476,1.9790823999621359,14.915934703389146,2.076297497201126,16.90208497594614,2.0370272101483056,14.637976474449276,2.0063323658158,12.923850387823402,1.9763344651066677,11.966947962026142,1.960782335662231,11.232462398341447
9.0,0.18,0.15,268.0,7152.10546875,20.035505294799805,37.12385663587317,37.12119836946605,12.198401452782358,0.053047180321491555,18.095550537109375,28.474205017089844,0.18807928264141083,0.13706867396831512,0.07026761244193266,0.6255431964828595,0.2032314117026357,1.1871541523542561,1.297058619017532,8.842062187976527,2.376612199916788,19.619255691278173,2.499431109513058,21.124328238065118,2.4582083476563175,17.07102415991612,2.4308452460192007,14.750233634573531,2.4134569157260337,13.791916643986951,2.4204383942747514,13.484779733126295
9.0,0.18,0.18,268.0,7378.9033203125,20.51586151123047,44.64695825435346,44.64029437213791,12.301314861476428,-0.34847591762442487,18.62546730041504,27.631080627441406,0.10592377185821533,-0.11629147082567215,0.05292415293273524,2.6740670130748896,0.23342563227369525,1.362251864104975,1.5100144356551,10.610857791587948,2.7744625332828936,24.71960036481012,2.9353630403504196,25.42888828965483,2.8973477562616425,19.690276599321205,2.8826662273624994,17.637746842181116,2.8964664278748926,18.088358894723378,2.951003185636143,20.6914507756468
9.0,0.18,0.2,268.0,12408.2919921875,26.834178924560547,73.56398933511076,73.55149883531165,13.509149916064668,0.2167684033377111,25.419010162353516,21.524484634399414,0.16460035741329193,0.0750277042388916,0.017908200317826563,1.1929470320644409,0.2635881294967612,1.545560184072276,1.7237638553388743,12.500201014221686,3.1762483801965833,31.038746442951123,3.407681677438503,30.45430417920721,3.3876165817424995,24.090676229508187,3.4001615978917736,25.400938440541783,3.4854183622761425,33.26293194880255,3.6580210515542517,45.00459264536378
9.0,0.18,0.22,268.0,12786.46484375,27.43583869934082,80.95403695738206,80.93975384371083,12.939561009813236,0.1627311736883319,26.053377151489258,21.03212547302246,0.0643140897154808,0.047251492738723755,0.008432511424340943,1.0403153928899649,0.2937897242434571,1.7288087021376266,1.937436712999822,14.498157696645777,3.6025295096261956,38.22295892434041,4.024688913974288,37.95118238105148,4.166986112041242,37.62579495789575,4.363884546914199,53.26887787365528,4.726680084445412,62.24934562307895,5.173780060859785,56.41802178054565
9.0,0.18,0.25,268.0,13108.5029296875,28.02284049987793,88.54577947946176,88.52990327521874,12.48327275704668,-0.036162929750690624,26.670698165893555,20.519681930541992,0.07012692838907242,0.012803098186850548,0.0014986933477650493,0.9860079895364425,0.3239623761276801,1.896159786608864,2.1514487096891113,16.429673687356424,4.0238036236563035,43.514063475561905,4.7169316176807214,44.02807392057823,5.004814130131268,52.961028052158014,5.390414293803677,71.30599725441859,5.828276899375299,62.49509717597342,6.0045325165292445,75.50708207927772
9.0,0.18,0.28,268.0,36116.015625,50.059139251708984,118.74685924741618,118.3695163907574,8.3849746224933,0.11413623401908145,49.33625030517578,10.880345344543457,-0.1523478627204895,0.21218091249465942,0.0011757517341689284,2.8016366215513995,0.3541166055132484,2.103221045165766,2.3671902024570186,18.733681968001065,4.486972927015188,47.5482784333776,5.348852374905801,48.66235701764214,5.6873446419180675,64.97326460040986,6.166961667434269,74.25582635598109,6.618925781233385,69.39989934202107,6.706725188676846,88.73597191982589
