vw,up,us,lt,aero_force,v_app,yaw_rate,yaw_rate_paper,gk,gk_paper,kite_vel,aoa,elevation,azimuth,cs,turn_radius,usva_3,yaw_rate_3,va3,aoa3,usva_4,yaw_rate_4,va4,aoa4,usva_5,yaw_rate_5,va5,aoa5,usva_6,yaw_rate_6,va6,aoa6,usva_7,yaw_rate_7,va7,aoa7,usva_8,yaw_rate_8,va8,aoa8,usva_9,yaw_rate_9,va9,aoa9,usva_10,yaw_rate_10,va10,aoa10
8.0,0.42,0.05,262.0,2321.820068359375,20.390682220458984,7.942870524183468,7.924707985718883,7.704929124334261,0.5508812074808891,18.85080909729004,0.3049654960632324,2.219341278076172,1.2484468221664429,0.02757362993926913,11.37259646903503,0.06695323881340806,0.17556763696865957,17.95580291748047,0.703377902507782,0.5190974011225766,3.878609972899078,20.342975616455078,0.9292848706245422,0.9986592731699686,8.622814084662767,21.18096351623535,0.3590276539325714,1.0344043573414574,11.924675175401028,20.57064437866211,0.24181610345840454,1.0002029626824702,12.17324178726946,19.896642684936523,0.2720211148262024,0.962727749968365,11.007813000288179,19.170848846435547,0.3559807240962982,0.9288485052654679,10.595979534211716,18.504777908325195,0.4024583697319031,0.9014136411916271,8.526182331022676,17.967893600463867,0.47138145565986633
8.0,0.42,0.08,262.0,2877.105224609375,22.52532958984375,13.144545082330026,13.173633373654658,7.711078802892529,0.7883928442017503,21.132368087768555,0.25140151381492615,0.11588132381439209,1.5837748050689697,0.018452941059774772,7.9367885982874276,0.09875753640258408,0.2519913054391986,17.957387924194336,0.7014132142066956,0.7750228807912773,5.772093822721578,20.357404708862305,0.9252826571464539,1.5001889998093632,12.791254168651149,21.262405395507812,0.38275328278541565,1.5600628008286743,16.561529440957983,20.721370697021484,0.27664491534233093,1.5148918067987955,16.43098049476498,20.124048233032227,0.30668506026268005,1.464039511336065,13.647323358254363,19.460046768188477,0.39535823464393616,1.423385641924459,12.413927922483364,18.924516677856445,0.4338490664958954,1.392444130222135,10.415526843461848,18.518327713012695,0.48235663771629333
8.0,0.42,0.1,262.0,3158.116943359375,23.4248046875,17.92808864538202,17.926101847854945,7.59857917226763,0.011980841500671881,22.0869197845459,0.28396058082580566,-0.012711423449218273,0.06306175887584686,0.009721137326820856,0.12367845768341001,0.13061429819687087,0.3292303361365053,17.958478927612305,0.7010493278503418,1.0315369188384529,7.594827960749144,20.374231338500977,0.927316427230835,2.006420637943712,17.024716861912466,21.351097106933594,0.42886102199554443,2.0969530921975257,20.528955928614874,20.908262252807617,0.3430865406990051,2.0408963489818865,19.34614713074731,20.35091781616211,0.3680073022842407,1.9837430040098203,15.805776627337353,19.787994384765625,0.4570787847042084,1.9469894982145999,14.293565593782033,19.42377281188965,0.48815035820007324,1.926154014791336,12.610391085265128,19.218090057373047,0.5136433839797974
8.0,0.42,0.12,262.0,3343.647705078125,23.92186164855957,21.82418490147474,21.826202420777857,7.255357036161007,-0.0017927249223009807,22.614538192749023,0.34556153416633606,-0.07674907147884369,0.03778117895126343,0.0022054863321965164,0.23629095308064607,0.1624109977412137,0.4054508895659056,17.958925247192383,0.7015181183815002,1.2884848585541369,9.350152895098827,20.391368865966797,0.9358453750610352,2.5173972838153174,20.86832296652871,21.443866729736328,0.49637171626091003,2.6423892587550806,24.050710084008372,21.088512420654297,0.4271625876426697,2.5793013870715225,21.92823066086065,20.585912704467773,0.4523251950740814,2.524432691919852,17.96841730836963,20.152347564697266,0.5356802344322205,2.5063412880455886,16.71316178118598,20.00813865661621,0.5628865957260132,2.511000016188963,15.781897873174962,20.045166015625,0.5664713978767395
8.0,0.42,0.15,262.0,3518.062744140625,24.352737426757812,25.80912377234001,25.801858421581546,7.029777982705896,0.13460031830030933,23.070720672607422,0.4204692542552948,0.22668145596981049,0.2518759071826935,0.00509612192790958,0.8899822197757734,0.19415151306142467,0.4818431629997785,17.959379196166992,0.702481210231781,1.5461730649950192,10.999790908860383,20.411460876464844,0.9503592848777771,3.033053888704942,24.366370029136768,21.539180755615234,0.578099250793457,3.19609900181294,26.623662729732313,21.26468849182129,0.514168918132782,3.1250702543546782,23.978764268218484,20.792461395263672,0.5418028235435486,3.0807824956699563,20.0828051957928,20.499895095825195,0.6201260089874268,3.09326708206178,19.516416455878613,20.581924438476562,0.6399226784706116,3.134873820111272,19.696887907434707,20.856300354003906,0.625291645526886
8.0,0.42,0.18,262.0,3665.655029296875,24.670785903930664,29.174483289243465,29.173700069141184,6.727991363389036,0.007012223612224646,23.40557289123535,0.5089709758758545,-0.058250006288290024,0.10310765355825424,0.011542554339320166,0.2393709938950465,0.2258709991189619,0.557484359281962,17.959829330444336,0.7044011950492859,1.8047320889560656,12.562726267048575,20.43421745300293,0.9722990393638611,3.5550556277345438,27.35335209330576,21.644882202148438,0.6736512780189514,3.760215046589963,28.781016615570554,21.450237274169922,0.6148984432220459,3.6840331128907233,25.697374187532006,21.01528549194336,0.647914469242096,3.6570774502616827,22.358385930295878,20.86259651184082,0.7122774720191956,3.708683834254265,22.742817362801002,21.154373168945312,0.7203173637390137,3.795250725406481,24.21305672067113,21.644350051879883,0.7047550678253174
8.0,0.42,0.2,262.0,3798.857177734375,24.933183670043945,32.264671382894505,32.26062871683656,6.445545635351413,0.013531793476591258,23.68086051940918,0.6113711595535278,0.1017606109380722,0.10528703778982162,0.017558016595267886,0.11025416393957353,0.2575975949730652,0.6359186585320801,17.960237503051758,0.7068437933921814,2.0644894181399165,14.111435569700653,20.460697174072266,1.001099705696106,4.083614632107468,29.938114666547953,21.758668899536133,0.7814501523971558,4.331625497314912,30.75258223736871,21.62622833251953,0.7070080041885376,4.251499859231903,27.450796658875497,21.225568771362305,0.7512729167938232,4.252634963511386,24.90470761158428,21.23092269897461,0.8160718679428101,4.35157511498233,26.551366086866064,21.721384048461914,0.8046848177909851,4.487793387038106,29.225523901767446,22.396522521972656,0.7782304286956787
8.0,0.42,0.22,262.0,3938.0009765625,25.18182945251465,35.45703971213131,35.450524024505086,6.236782789970782,0.04078497204288318,23.94370460510254,0.728650689125061,0.0026277764700353146,0.15822389721870422,0.023655051102549576,0.2622651424802265,0.28930660382708456,0.7115700853164079,17.9605770111084,0.7092846632003784,2.325225737997278,15.664952446202767,20.488807678222656,1.035691261291504,4.619326293405043,32.29391942258742,21.880352020263672,0.9041181206703186,4.9155294052361,32.64441068055198,21.818761825561523,0.8371460437774658,4.837037481754099,29.395271676485642,21.469215393066406,0.8816796541213989,4.875581889207095,27.96685390785095,21.639007568359375,0.9349640607833862,5.029383581009214,31.04184009989757,22.31725311279297,0.9135958552360535,5.218763709079237,34.436840620197266,23.152029037475586,0.8841790556907654
8.0,0.42,0.25,262.0,4079.252685546875,25.40517234802246,38.89785784400517,38.89581590604246,6.105878365989909,-0.19054473149452192,24.1783447265625,0.8651082515716553,0.0853627473115921,-0.05563494190573692,0.030165157959408967,0.8920929414814209,0.3209344721774857,0.7857185370120846,17.961076736450195,0.7123596668243408,2.5870437698865385,17.214300378424227,20.518863677978516,1.0779868364334106,5.162277515192307,34.49641180820153,22.00839614868164,1.0300060510635376,5.503030325124537,34.68853559650357,21.98767852783203,0.9475219249725342,5.429719813348582,31.524923355852952,21.69314956665039,1.0175225734710693,5.5170803829858945,31.440897456935225,22.039846420288086,1.0683948993682861,5.7313825265782485,35.84976946721315,22.891117095947266,1.0305513143539429,5.968865460530247,38.826208896324324,23.83390998840332,0.9881889820098877
8.0,0.42,0.28,262.0,4150.6064453125,25.43999481201172,41.34682468286534,41.339703990978876,5.894386095625579,-0.18309266572840824,24.21473503112793,0.9568374156951904,-0.061425838619470596,-0.055408138781785965,0.03667036971354941,0.9345493885356388,0.35250537276433325,0.8568918766056907,17.9615421295166,0.7154312133789062,2.8504778517042477,18.749694433368614,20.553295135498047,1.1256556510925293,5.713357754598211,36.66066029032723,22.1447811126709,1.177321434020996,6.106886539206225,36.59572913998463,22.185354232788086,1.109634280204773,6.043542129396835,34.03420370133199,21.95305061340332,1.175278663635254,6.1857894912839635,35.549686619492874,22.466758728027344,1.2113853693008423,6.453282245237793,40.79816474289192,23.433246612548828,1.1372301578521729,6.699979282221737,42.33962762551231,24.32417106628418,0.9184337258338928
