short_label,frame,measurement,category,marker,color,target_ekf_time_s,sample_ekf_time_s,time_error_s,downwind_position_m,crosswind_position_m,height_m,flight_power_state,flight_turn_state,steering_percent,depower_percent,reelout_speed_ms,tether_force_kcu_n
PS_1,7182,Powered straight reel-out,powered_straight,o,C0,67.63333333333334,67.59999990463257,-0.033333428700771606,210.5237949001625,19.158104507699072,147.4,powered,straight,0.03,39.37,-0.01,1178.845166921119
PT_1,7362,Powered right-turn reel-out,powered_turn,o,C7,73.63333333333334,73.59999990463257,-0.033333428700771606,225.06518049320064,58.61083831708905,122.2,powered,turn,-18.7,39.37,1.26,4370.9135383195735
PS_2,7721,Powered straight reel-out,powered_straight,^,C0,85.60000000000001,85.59999990463257,-9.536744016713783e-08,217.05391463386653,-50.118012129014105,145.7,powered,turn,-6.43,39.37,0.5,1403.7704309711796
PT_2,7811,Powered left-turn reel-out,powered_turn,^,C7,88.60000000000001,88.59999990463257,-9.536744016713783e-08,211.69789443766183,-72.94364569432503,148.3,powered,turn,16.97,39.37,0.8,1980.3430545420504
DR_1,17611,Depowered reel-in,depowered_reelin,o,C2,415.26666666666665,415.2999999523163,0.03333328564963267,237.2564530888808,114.64898043919922,141.39,depowered,straight,0.14,50.12,-2.6,680.1982989595717
DR_2,17701,Depowered reel-in,depowered_reelin,^,C2,418.26666666666665,418.2999999523163,0.03333328564963267,225.1597348987177,100.52949358493368,147.0,depowered,straight,-3.88,50.11,-4.16,718.0931071304125
