case_id,campaign,year,source_h5,t_start_s,t_end_s,n_samples,phase_label,flight_phase_label,powered_label,mean_u_s,std_u_s,mean_u_dp_ch9,std_u_dp_ch9,mean_depower_tape_length_m,mean_V_a_ms,std_V_a_ms,mean_tether_length_m,std_tether_length_m,mean_reel_speed_ms,std_reel_speed_ms,mean_tether_force_kite_N,std_tether_force_kite_N,mean_ground_tether_force_N,std_ground_tether_force_N,mean_preferred_tether_force_N,std_preferred_tether_force_N,force_source_preferred,mean_CL_ekf,std_CL_ekf,mean_CD_ekf,std_CD_ekf,mean_L_over_D_ekf,std_L_over_D_ekf,mean_CD_kcu_ekf,std_CD_kcu_ekf,mean_CD_bridles_ekf,std_CD_bridles_ekf,mean_CL_kite_ekf,std_CL_kite_ekf,mean_CD_kite_ekf,std_CD_kite_ekf,mean_L_over_D_kite_ekf,std_L_over_D_kite_ekf,mean_wind_speed_ms,mean_wind_direction_rad,mean_elevation_deg,mean_azimuth_deg,mean_course_deg,mean_aoa_deg,mean_slack_m,mean_yaw_rate_deg_s,max_abs_yaw_rate_deg_s,mean_abs_turn_radius_m,mean_lateral_accel_ms2,straight_filter_pass,rejection_reason,quality_score,mean_CL_over_CD_from_window_means,mean_CL_over_CD_kite_from_window_means
2019_win_000000,2019,2019,/home/jellepoland/ownCloud/phd/code/EKF-AWE/results/v3/v3_2019-10-08_t26.h5,1499.9000000953674,1501.9000000953674,21,unknown,unknown,depowered,-0.08226984659830729,0.008428104692156647,0.2507809924483031,0.00021400261426050433,1.4539049622415152,13.883895476344337,0.5958137787865098,312.5810240993646,0.3977952979303654,-2.3431347619047616,0.3780570220035471,1255.3692289345797,89.79127540973565,887.9173478571431,107.90225247709759,1255.3692289345797,89.79127540973565,tether_force_kite,0.5212832175911801,0.08779374116063526,-0.06738137675233731,0.009947741183569512,,,0.005776339645165464,0.0027915675235435423,0.010058852445143925,0.00481607725546622,0.5212832175911801,0.08779374116063526,-0.05154618466202793,0.014172946260362713,,,5.153637107274163,0.5614152713282663,46.83712251232331,-0.9467071627146677,-21.54758668109086,-17.62532782126476,2.3764959507065204,2.5397285189172303,8.181951906027182,83.16636253726135,3.2008138126729357,False,turn_straight_not_straight,0.20513776171286163,,
2019_win_000001,2019,2019,/home/jellepoland/ownCloud/phd/code/EKF-AWE/results/v3/v3_2019-10-08_t26.h5,1500.4000000953674,1502.4000000953674,21,unknown,unknown,depowered,-0.07827193123953682,0.00535346528926525,0.2508634091428254,2.105885075137956e-06,1.4543170457141266,14.273274361605926,0.3978049940530587,312.24234059309856,0.6995593330124621,-2.654080476190476,0.3921271260889278,1223.9075197647812,61.82610276075885,843.6435565714287,60.20216373075488,1223.9075197647812,61.82610276075885,tether_force_kite,0.47778522014490815,0.018493261438129235,-0.06234943328912206,0.006775411895311309,,,0.006024675819798653,0.002884534560223229,0.010502656817973884,0.00499137287644447,0.47778522014490815,0.018493261438129235,-0.04582210065134953,0.01054836740771844,,,5.949420160332962,0.5326022076161322,47.482237520824725,-1.286565851964835,-20.735758460039676,-17.21545790396766,2.689245068436213,1.8457363907725188,8.181951906027182,99.32538325098251,3.0666842610119187,False,turn_straight_not_straight,0.16201135428717364,,
2019_win_000002,2019,2019,/home/jellepoland/ownCloud/phd/code/EKF-AWE/results/v3/v3_2019-10-08_t26.h5,1500.9000000953674,1502.9000000953674,21,unknown,unknown,depowered,-0.07653264726911274,0.0019382091981840458,0.2508638121876447,2.3724931251606255e-06,1.4543190609382233,14.563975153107501,0.33151460234609953,311.57306844665516,1.0163054995490064,-2.967929047619047,0.38313485800569963,1252.608433947164,66.73506060463343,866.23608,58.123417673351994,1252.608433947164,66.73506060463343,tether_force_kite,0.46765447324125525,0.005989505199933233,-0.0564793925454827,0.010521862748808569,,,0.006409652130524387,0.002961188927434764,0.01120282170364539,0.005136587936334867,0.46765447324125525,0.005989505199933233,-0.038866918711312926,0.014286052523923473,,,6.3713408302313175,0.511065644694119,48.12386294351674,-1.6066559181556206,-20.266557943226488,-16.143717831950735,2.6717606992409304,0.9580365085536168,4.969681216360075,113.26999179638649,2.931386760083198,False,turn_straight_not_straight,0.15451037500952247,,
2019_win_000003,2019,2019,/home/jellepoland/ownCloud/phd/code/EKF-AWE/results/v3/v3_2019-10-08_t26.h5,1501.4000000953674,1503.4000000953674,21,unknown,unknown,depowered,-0.07691707429431735,0.001528574646564652,0.25086401371005435,2.2808562366391453e-06,1.4543200685502715,14.855999876456869,0.35672833724808134,310.62605166121676,1.334193047850256,-3.238928571428572,0.3408125265051992,1259.3021264772067,71.20747964747193,873.3772928571428,56.09699387672478,1259.3021264772067,71.20747964747193,tether_force_kite,0.4659571969286277,0.006170149813398297,-0.050006474892243344,0.01166597291887529,,,0.006406218331256713,0.0027692205623902765,0.011228983401058776,0.004837240925220767,0.4659571969286277,0.006170149813398297,-0.03237127315992786,0.0161788821907225,,,6.614921988210416,0.5002747508716335,48.775547868069,-1.9094591609372948,-20.009460856014314,-14.811242485999296,2.6019924350971206,0.26360849594533337,4.969681216360075,130.0032912106616,2.51741049402495,False,turn_straight_not_straight,0.15900324871087657,,
2019_win_000004,2019,2019,/home/jellepoland/ownCloud/phd/code/EKF-AWE/results/v3/v3_2019-10-08_t26.h5,1501.9000000953674,1503.9000000953674,21,unknown,unknown,depowered,-0.07742097763788133,0.001460092476813516,0.25086401371005435,2.2808562366391453e-06,1.4543200685502715,15.193403025272946,0.45794824479406965,309.5037723652484,1.5388827943859422,-3.4634900000000006,0.25261209048657984,1296.4687236021218,90.71927412934795,897.9808662857142,71.4601582830098,1296.4687236021218,90.71927412934795,tether_force_kite,0.4633752243968357,0.004268036996011603,-0.04220519483578751,0.0082104769185844,,,0.007253989905274702,0.0028935873063349036,0.012726398791524615,0.00505928599156587,0.4633752243968357,0.004268036996011603,-0.02222480613898819,0.013564482466761488,,,6.788387111815952,0.4935109193384779,49.44559472576996,-2.2322617210697544,-19.599147355596894,-14.133151966691354,2.538332212628672,0.622983749720763,4.969681216360075,162.68436568948698,2.4329840669506413,False,turn_straight_not_straight,0.178996458174649,,
2019_win_000005,2019,2019,/home/jellepoland/ownCloud/phd/code/EKF-AWE/results/v3/v3_2019-10-08_t26.h5,1502.4000000953674,1504.4000000953674,21,unknown,unknown,depowered,-0.07733807518368677,0.0018295456238032293,0.250864215232464,2.165780003637666e-06,1.4543210761623198,15.548972558103149,0.526840790130473,308.1895528861844,1.73577797705756,-3.615598571428571,0.1289939670017832,1317.6524529004814,81.8202336240163,925.167879857143,54.201391574232524,1317.6524529004814,81.8202336240163,tether_force_kite,0.4584001369278853,0.008592529094708881,-0.03558844734302268,0.00638792678449386,,,0.007534605533482365,0.0020871074732258217,0.01322955698620472,0.0036517640574583897,0.4584001369278853,0.008592529094708881,-0.014824284823335598,0.009252290974501788,,,6.955268514698128,0.4855999114790406,50.138625376167035,-2.5632136543675084,-18.82135612885523,-13.818295991352805,2.450006034342063,1.455995356068519,6.70154355496816,158.81022719863117,2.1189788553837943,False,turn_straight_not_straight,0.17514575503340238,,
2019_win_000006,2019,2019,/home/jellepoland/ownCloud/phd/code/EKF-AWE/results/v3/v3_2019-10-08_t26.h5,1502.9000000953674,1504.9000000953674,21,unknown,unknown,depowered,-0.07551507859002976,0.003181345812064957,0.250864215232464,2.165780003637666e-06,1.4543210761623198,15.944169797996674,0.504551070662938,306.7740689596171,1.8094664906510491,-3.693803333333333,0.07540257106580207,1366.3451779309248,107.77987262983521,936.8517300000001,60.47495350555463,1366.3451779309248,107.77987262983521,tether_force_kite,0.4511681396874037,0.015585509489610109,-0.03087740458465717,0.00683467660739246,,,0.008841521835587382,0.003064881939927427,0.015524551257311968,0.005372053158028672,0.4511681396874037,0.015585509489610109,-0.006511331491757815,0.012993215176589806,28.211977721790223,3.048327123322639,7.155839185722984,0.47697524487721205,50.85697257599753,-2.8954069011992183,-17.509266018958098,-13.878788940955522,2.490922832797001,1.946688689485595,6.70154355496816,152.0300979881315,2.6989831202963597,False,turn_straight_not_straight,0.1892231647792157,,
2019_win_000007,2019,2019,/home/jellepoland/ownCloud/phd/code/EKF-AWE/results/v3/v3_2019-10-08_t26.h5,1503.4000000953674,1505.4000000953674,21,unknown,unknown,depowered,-0.07179024832589287,0.007178607113861768,0.250864215232464,1.7028345502619301e-06,1.4543210761623195,16.31564909707534,0.4796602244869815,305.3304589923807,1.8388706147810097,-3.723591428571428,0.04248946931719838,1447.336808875207,137.25892414861468,967.1124034285713,70.9311123544728,1447.336808875207,137.25892414861468,tether_force_kite,0.4480936704627726,0.014009602077480443,-0.02600886868097824,0.00610961216505189,,,0.010465280512330123,0.0033706062467102472,0.018378784036602355,0.005918097475721777,0.4480936704627726,0.014009602077480443,0.0028351958679542384,0.013389166808886835,29.3317812605579,12.693062844368574,7.40915359602659,0.464346449643287,51.5900966302015,-3.2250110403872507,-16.00127579277956,-13.479896222379956,2.4270369737205733,3.0448277847446894,6.70154355496816,145.9477518069472,3.1806221337085057,False,turn_straight_not_straight,0.20320314808518564,,158.0468127537512
2019_win_000008,2019,2019,/home/jellepoland/ownCloud/phd/code/EKF-AWE/results/v3/v3_2019-10-08_t26.h5,1503.9000000953674,1505.9000000953674,21,unknown,unknown,depowered,-0.06775738307407925,0.007686586117278796,0.25086421523246394,1.70283455026193e-06,1.4543210761623195,16.50365287926265,0.29518847351837746,303.8433214921791,1.8356916883621983,-3.711532857142857,0.05603530290297869,1462.0327881134253,144.31240512580757,963.9358320000001,82.3730039409513,1462.0327881134253,144.31240512580757,tether_force_kite,0.4468727778158498,0.012854222036467574,-0.020932355845260365,0.005836690962615343,,,0.010624965745635978,0.004438982390683278,0.01864144344632858,0.007785655331989854,0.4468727778158498,0.012854222036467574,0.008334053346704192,0.014808808134852157,26.235640905047934,13.283429362722687,7.680032846451938,0.45111847406079564,52.32671845532621,-3.5267217638034163,-14.438301731185252,-13.361510238606812,2.4876869621188358,2.871920936018268,6.70154355496816,128.67113940570619,3.8891058587425884,False,not_reel_out_phase,0.19203690168197066,,53.6201004751873
2019_win_000009,2019,2019,/home/jellepoland/ownCloud/phd/code/EKF-AWE/results/v3/v3_2019-10-08_t26.h5,1504.4000000953674,1506.4000000953674,21,unknown,unknown,depowered,-0.06266387939453126,0.006846340581068796,0.2508644167548736,1.5174517014338764e-06,1.4543220837743678,16.53872315092777,0.2838589314641078,302.35132748132554,1.8629828885433342,-3.7256747619047625,0.0685676580917744,1450.4324533046774,157.4294740801827,956.5799202857144,89.97722218470435,1450.4324533046774,157.4294740801827,tether_force_kite,0.44666405902725304,0.013180252637874654,-0.015669450684387447,0.006840261871507764,,,0.009978074367352265,0.00501068973111297,0.017504161266429202,0.008789210485793243,0.44666405902725304,0.013180252637874654,0.011812784949394015,0.012085681710779738,48.09485341111872,51.67368773851051,7.948908344823471,0.44135552366330094,53.05563263392119,-3.795900434007658,-12.508688027032141,-12.505682476524257,2.449284721653214,2.4536712948693533,6.70154355496816,99.03605463601343,3.9934702539808673,False,not_reel_out_phase,0.19521319159572165,,37.81191826827987
2019_win_000010,2019,2019,/home/jellepoland/ownCloud/phd/code/EKF-AWE/results/v3/v3_2019-10-08_t26.h5,1504.9000000953674,1506.9000000953674,21,unknown,unknown,depowered,-0.056928300403413325,0.0053080361325883165,0.25086421523246394,1.7028345502619301e-06,1.4543210761623195,16.470102460500446,0.32383661384075524,300.82076838872047,1.9278538817173918,-3.769710952380952,0.12120845106281829,1426.8443975335883,152.33365350093368,940.5178204285714,89.23147438246318,1426.8443975335883,152.33365350093368,tether_force_kite,0.4487255778391369,0.01016161504842059,-0.010169417065329183,0.00825623009581659,521.217667931848,262.09111744345,0.00944335439316227,0.005141698506405739,0.016559116541541415,0.009037550397357437,0.4487255778391369,0.01016161504842059,0.015833053869374506,0.013255295924878611,45.078851643067644,49.996429876324044,8.147931762232878,0.43312372065947186,53.77063212320586,-4.034720703388373,-10.845662456418951,-10.800788519409522,2.360803938349309,1.497237212850194,6.597838194049483,94.9383406761498,3.9953304363895192,False,not_reel_out_phase,0.18866105024441202,,28.341063040724947
2019_win_000011,2019,2019,/home/jellepoland/ownCloud/phd/code/EKF-AWE/results/v3/v3_2019-10-08_t26.h5,1505.4000000953674,1507.4000000953674,21,unknown,unknown,depowered,-0.055124805995396216,0.004295633805314007,0.2508640137100543,1.84698339288873e-06,1.4543200685502713,16.28549972749211,0.24496500002156382,299.21723492015855,2.039109356400687,-3.882006190476191,0.2166132216296178,1351.7725035626456,117.8082157907043,906.9021737142856,74.77336590557007,1351.7725035626456,117.8082157907043,tether_force_kite,0.44676340577330365,0.009794073191614698,-0.0027056299575631145,0.009612901023240543,258.5387671266155,296.9063598450705,0.007050249849025229,0.004977126149980176,0.012314277967985433,0.008759796250033904,0.44676340577330365,0.009794073191614698,0.016658897859447554,0.013274733140874458,42.69185534720133,50.24287934758163,8.264062642002921,0.4320580982550631,54.458934507607864,-4.246560472783453,-10.256112153035804,-9.0338757459134,2.296483125181656,1.200349582006573,6.597838194049483,88.46055748016786,4.142923636744821,False,not_reel_out_phase,0.16161326737139065,,26.818305120943897
2019_win_000012,2019,2019,/home/jellepoland/ownCloud/phd/code/EKF-AWE/results/v3/v3_2019-10-08_t26.h5,1505.9000000953674,1507.9000000953674,21,unknown,unknown,depowered,-0.05392843337286087,0.0029835316551898106,0.25086381218764464,1.9590217227758373e-06,1.454319060938223,16.14480116074823,0.20932213358574284,297.4888092468793,2.222130049305585,-4.0815028571428575,0.29111691186090266,1299.4410802157586,51.06905179035964,882.3354111428572,60.407226455691564,1299.4410802157586,51.06905179035964,tether_force_kite,0.4438536856879941,0.008291611174607449,0.005299060482938058,0.011091365683184732,174.16788431094247,260.85942650859664,0.006199249722321017,0.0033678929146492057,0.010800971337984301,0.0059542034876510375,0.4438536856879941,0.008291611174607449,0.022299281543243378,0.015896051049770918,38.94271547090155,48.84956682384553,8.31840575625654,0.4360362373550119,55.12552997668579,-4.442493927174636,-9.580290180744381,-6.6680778356846595,2.1642372234463156,1.0364157161748777,3.1033170353450292,65.80397563716278,3.458417559306272,False,not_reel_out_phase,0.10917804440766754,83.76082649313335,19.90439399705595
2019_win_000013,2019,2019,/home/jellepoland/ownCloud/phd/code/EKF-AWE/results/v3/v3_2019-10-08_t26.h5,1506.4000000953674,1508.4000000953674,21,unknown,unknown,depowered,-0.054299043927873894,0.003607634608351791,0.25086401371005435,2.2808562366391453e-06,1.4543200685502715,16.09912373285587,0.14601739109356052,295.64630175113115,2.388321789160365,-4.3095476190476205,0.3176489724507977,1314.5025657293133,50.23717596677149,870.4217267142858,39.22207269575164,1314.5025657293133,50.23717596677149,tether_force_kite,0.4444325761305806,0.008620495464106863,0.012591980194956012,0.009602478133324223,133.7199010713373,232.3384292996125,0.008048494177211492,0.0040197686557293015,0.014053471651501736,0.007127940875387604,0.4444325761305806,0.008620495464106863,0.034693946023669237,0.01699302970286888,17.556237563207326,11.57025077007986,8.29671943221521,0.4409172116599638,55.7753077702914,-4.625651385451097,-9.896398573194963,-6.423675550422703,2.1627275080855872,0.34676278839862373,4.09504395335902,89.56344578129764,3.086180188803855,False,not_reel_out_phase,0.10519420784470868,35.294891609550625,12.810090147352382
