bin_variable,bin_center,bin_lower,bin_upper,V_a_bin_center,V_a_bin_lower,V_a_bin_upper,campaign,year,phase_label,powered_label,n_windows,mean_depower,mean_tether_length,mean_elevation,tether_force_preferred_N_mean,tether_force_preferred_N_p16,tether_force_preferred_N_p50,tether_force_preferred_N_p84,tether_force_kite_N_mean,tether_force_kite_N_p16,tether_force_kite_N_p50,tether_force_kite_N_p84,CL_ekf_mean,CL_ekf_p16,CL_ekf_p50,CL_ekf_p84,CD_ekf_mean,CD_ekf_p16,CD_ekf_p50,CD_ekf_p84,L_over_D_ekf_mean,L_over_D_ekf_p16,L_over_D_ekf_p50,L_over_D_ekf_p84,CD_kcu_ekf_mean,CD_kcu_ekf_p16,CD_kcu_ekf_p50,CD_kcu_ekf_p84,CD_bridles_ekf_mean,CD_bridles_ekf_p16,CD_bridles_ekf_p50,CD_bridles_ekf_p84,CL_kite_ekf_mean,CL_kite_ekf_p16,CL_kite_ekf_p50,CL_kite_ekf_p84,CD_kite_ekf_mean,CD_kite_ekf_p16,CD_kite_ekf_p50,CD_kite_ekf_p84,L_over_D_kite_ekf_mean,L_over_D_kite_ekf_p16,L_over_D_kite_ekf_p50,L_over_D_kite_ekf_p84
V_a,13.0,12.0,14.0,13.0,12.0,14.0,2019,2019,unknown,powered,11,0.18513499435186234,285.0454898403718,33.016442182365694,1376.6599951494754,1298.7183921880105,1370.8043045671486,1435.8277449367679,1376.6599951494754,1298.7183921880105,1370.8043045671486,1435.8277449367679,0.7424096896755173,0.715740077793726,0.7487826655917585,0.7710482375690564,0.11385058858577542,0.10136398066214986,0.11820637239309484,0.1297065236083571,6.822290180259388,5.629688212544315,6.261955307039393,7.65078189021848,0.007012624841780424,0.006762137314255933,0.007083612460000925,0.007224260390454683,0.01207104085423717,0.011622417100560797,0.012129705624749439,0.012466686092217232,0.7424096896755173,0.715740077793726,0.7487826655917585,0.7710482375690564,0.132934254281793,0.1199322430527372,0.13770191959018696,0.14851420084593936,5.771844473509359,4.921927573352605,5.397378293831376,6.439011696793514
V_a,15.0,14.0,16.0,15.0,14.0,16.0,2019,2019,unknown,powered,31,0.18513880680914813,291.4795529399244,34.88073579264253,1767.3468105806962,1528.0048518653327,1793.7062455912765,1952.8360465612836,1767.3468105806962,1528.0048518653327,1793.7062455912765,1952.8360465612836,0.6967469430391524,0.6761697384249901,0.7003720482102097,0.7172828943890351,0.0851834499419997,0.051813728884244216,0.09063087182159071,0.10700656812772483,9.495051525970593,6.6259120398146205,7.63450830699862,13.699627767109634,0.006928588306792272,0.006558897723327861,0.006957682927758413,0.007298445875178001,0.011995051101069472,0.011401305579210836,0.012019298411190532,0.012680874628681345,0.6967469430391524,0.6761697384249901,0.7003720482102097,0.7172828943890351,0.10410708934986145,0.07089467130230799,0.10958420989751516,0.12485804968146157,7.287365402672812,5.680856398925031,6.336731070527557,10.014152716073282
V_a,17.0,16.0,18.0,17.0,16.0,18.0,2019,2019,unknown,powered,76,0.18513827933409324,291.05030866787473,34.607393122162996,2273.8687613762986,2109.8361895251364,2279.759784382793,2466.4925212666753,2273.8687613762986,2109.8361895251364,2279.759784382793,2466.4925212666753,0.6933533613695769,0.6665051619711863,0.6969437907374333,0.7182158288648037,0.08057010987320028,0.059579877429398,0.0783375323373043,0.10302721931436859,9.536177678735456,6.511290893089826,8.690515254867664,11.992943740434267,0.00686228012824211,0.006555773589433784,0.006887411725733495,0.007286485630458929,0.011919372827013622,0.011306071299290746,0.011988318595677967,0.01260886348474743,0.6933533613695769,0.6665051619711863,0.6969437907374333,0.7182158288648037,0.09935176282845601,0.078844500873831,0.09735210568514127,0.12151380460037793,7.427093943651237,5.524410295863823,6.91705508988872,8.961874911686289
V_a,19.0,18.0,20.0,19.0,18.0,20.0,2019,2019,unknown,powered,175,0.1851452151464567,290.9092626899051,36.17695720137155,3028.9487748640363,2682.5613255847666,3060.3616812908685,3346.8463037994175,3028.9487748640363,2682.5613255847666,3060.3616812908685,3346.8463037994175,0.7108727385907875,0.678984204922913,0.7038041178412984,0.744494760542909,0.0865186081496886,0.0653191750990631,0.08926589468337377,0.10918658745752592,9.232041122157586,6.604640982449707,8.044413708093648,10.650082131648551,0.0069340159771346215,0.006584427321412292,0.006933281538266107,0.0072651618731344085,0.012042802097602718,0.01141692099808737,0.012045001899576888,0.012633462862890703,0.7108727385907875,0.678984204922913,0.7038041178412984,0.744494760542909,0.10549542622442593,0.0844148605302951,0.10869717024443037,0.12726177663565705,7.197835550140023,5.661206755691342,6.581541555987235,8.220921133613961
V_a,21.0,20.0,22.0,21.0,20.0,22.0,2019,2019,unknown,powered,206,0.18515197170056255,290.1661294782945,36.52188330968525,3728.157438358094,3405.6119698814123,3710.6299770632604,4063.2544799504803,3728.157438358094,3405.6119698814123,3710.6299770632604,4063.2544799504803,0.7268437031705959,0.6934296447646905,0.7225003816824087,0.7665777094580216,0.09377646831609103,0.06805462313493373,0.09446958679965071,0.11879140713060468,8.270211877622417,6.370993256931913,7.653719043222793,10.4840788843917,0.006867167735922951,0.006567137475041926,0.006869174853653237,0.007133854338022029,0.011910235907352592,0.011363278324724713,0.011929915765261812,0.012395281795130244,0.7268437031705959,0.6934296447646905,0.7225003816824087,0.7665777094580216,0.11255387195936656,0.08712009663591196,0.11264074448685768,0.1385716604699209,6.736871460938664,5.477646225954793,6.402425888190576,8.20173457582523
V_a,23.0,22.0,24.0,23.0,22.0,24.0,2019,2019,unknown,powered,21,0.18516196293728382,289.83959856911184,36.446033761739805,4514.9103665828125,4145.679355154589,4476.0843085496,4889.934969001748,4514.9103665828125,4145.679355154589,4476.0843085496,4889.934969001748,0.7607833242393003,0.716593963235606,0.7598699600587283,0.7975587705661475,0.10593368606993346,0.06815717419345385,0.11726028983191569,0.14219184046998506,7.923735286689392,5.72173928822809,6.415836424290074,10.753497404228517,0.006976248031511466,0.006694486608207695,0.006974857955470368,0.007302860333907539,0.012084531080088712,0.011533648494648947,0.012083448758686225,0.012592116941667538,0.7607833242393003,0.716593963235606,0.7598699600587283,0.7975587705661475,0.12499446518153363,0.08732020601723106,0.1352496815397366,0.16170744569250028,6.516345953180746,5.029211068052529,5.550340813528687,8.387838429662077
V_a,13.0,12.0,14.0,13.0,12.0,14.0,2025,2025,phase_1,powered,2,0.4126,229.1920167168707,47.70555737077354,1482.6367297477454,1435.152723782829,1482.6367297477454,1530.120735712662,1482.6367297477454,1435.152723782829,1482.6367297477454,1530.120735712662,0.733986960855467,0.7317827795850911,0.733986960855467,0.7361911421258428,0.1482120158368187,0.1480348769021536,0.1482120158368187,0.1483891547714838,4.952354771835397,4.943309510422851,4.952354771835397,4.961400033247944,0.006510497361877939,0.006484422635324718,0.006510497361877939,0.006536572088431159,0.011122396337907521,0.011067511437900317,0.011122396337907521,0.011177281237914725,0.733986960855467,0.7317827795850911,0.733986960855467,0.7361911421258428,0.16584490953660413,0.1657487302284995,0.16584490953660413,0.1659410888447088,4.425943671221056,4.415066591910918,4.425943671221056,4.4368207505311945
V_a,15.0,14.0,16.0,15.0,14.0,16.0,2025,2025,phase_1,powered,53,0.41656226415094355,277.45465262245347,26.898643945351104,1983.6474671427766,1816.1654597913578,1950.6327510926162,2157.0947562334736,1983.6474671427766,1816.1654597913578,1950.6327510926162,2157.0947562334736,0.8096481289545056,0.7915109162450051,0.811366742267353,0.8250443516872236,0.22293603843663257,0.2023578199102817,0.22459764584055322,0.23686923905483387,3.6482242444987714,3.449567023915005,3.6212374388202813,3.9505323220642565,0.0063927341802353385,0.006290563322511813,0.00638837913352108,0.00649812912755362,0.01035112557747441,0.010055084846450445,0.010327341654216018,0.01072895777679561,0.8096481289545056,0.7915109162450051,0.811366742267353,0.8250443516872236,0.23967989819434232,0.2194822404873612,0.2412151687697875,0.25314093278169686,3.390748440449324,3.2256909103282942,3.3712868644209655,3.6417054487117366
V_a,17.0,16.0,18.0,17.0,16.0,18.0,2025,2025,phase_1,powered,63,0.4133936507936509,274.10766417580413,26.011764209329282,2789.6815862286553,2441.2544055152816,2835.79119579271,3051.7630252982517,2789.6815862286553,2441.2544055152816,2835.79119579271,3051.7630252982517,0.8541327298424429,0.8212333142480094,0.8455926417876336,0.8978549374654836,0.22059880055311745,0.20215255031183135,0.2101735952803096,0.24440147936624035,3.8929636919063486,3.6182404862060036,3.9371708593160353,4.173773836184658,0.0064520783764244844,0.006394890233734023,0.006471703102950642,0.006509722934207502,0.01063814795451648,0.010481703927926935,0.010646594937391516,0.01084957698133515,0.8541327298424429,0.8212333142480094,0.8455926417876336,0.8978549374654836,0.23768902688405838,0.21951202678412235,0.2271003716038381,0.2610549462918289,3.6094138487112826,3.385491589596698,3.64841114113218,3.8476492639100033
V_a,19.0,18.0,20.0,19.0,18.0,20.0,2025,2025,phase_1,powered,22,0.41350909090909094,298.1102000835692,20.233347245799532,3423.025032836427,3227.2910107180646,3455.924064488465,3609.5679782503043,3423.025032836427,3227.2910107180646,3455.924064488465,3609.5679782503043,0.8403950231598819,0.7972108251491947,0.8510315534555384,0.868721322272807,0.2308997897708556,0.21460521555704504,0.2379123079709255,0.2453700112027774,3.6490036344837633,3.4921261021945575,3.541115790254567,3.953819277686392,0.006475155032630974,0.006405701738592214,0.006483213994577091,0.006546322849962758,0.010677246734738525,0.010537946304805982,0.010687641955345646,0.010808723800574852,0.8403950231598819,0.7972108251491947,0.8510315534555384,0.868721322272807,0.2480521915382251,0.23159538626858717,0.25509574604117624,0.26274807952404505,3.395348468707394,3.264433298634792,3.302457174621009,3.6675483536087805
