CL,CD,CS,aoa,ss
0.4644349525750289,0.06427607725419929,0.06427607725419929,0.0,0.0
0.452124640449301,0.0654548335505283,0.0654548335505283,0.0,0.05235987755982988
0.4298946808977646,0.06837435941780846,0.06837435941780846,0.0,0.10471975511965977
0.39883415738632005,0.07326461818704273,0.07326461818704273,0.0,0.15707963267948966
0.36645337413578094,0.0801650982546845,0.0801650982546845,0.0,0.20943951023931953
0.3185846705377037,0.08934545339202024,0.08934545339202024,0.0,0.2617993877991494
0.27289966973427054,0.1015264925750743,0.1015264925750743,0.0,0.3141592653589793
0.19513344030056118,0.11484638042387946,0.11484638042387946,0.0,0.3665191429188092
0.12639338672304498,0.13064019748180822,0.13064019748180822,0.0,0.41887902047863906
0.6226625031696914,0.07803144664734808,0.07803144664734808,0.03490658503988659,0.0
0.62561689924633,0.07637409152214324,0.07637409152214324,0.03490658503988659,0.05235987755982988
0.6021710191420773,0.07851532229997095,0.07851532229997095,0.03490658503988659,0.10471975511965977
0.5692172014322757,0.08264089514538729,0.08264089514538729,0.03490658503988659,0.15707963267948966
0.527997253638667,0.08903012059409514,0.08903012059409514,0.03490658503988659,0.20943951023931953
0.4863574194109628,0.09754929695192298,0.09754929695192298,0.03490658503988659,0.2617993877991494
0.41061120996116657,0.10831037207238106,0.10831037207238106,0.03490658503988659,0.3141592653589793
0.34294619317361935,0.12209371925595934,0.12209371925595934,0.03490658503988659,0.3665191429188092
0.2601083029821561,0.13355839612935003,0.13355839612935003,0.03490658503988659,0.41887902047863906
0.787818543526412,0.09241264243046725,0.09241264243046725,0.06981317007977318,0.0
0.7904035269260172,0.091362478742869,0.091362478742869,0.06981317007977318,0.05235987755982988
0.7660191021848383,0.0928433779450276,0.0928433779450276,0.06981317007977318,0.10471975511965977
0.7314745843497249,0.09629010078481,0.09629010078481,0.06981317007977318,0.15707963267948966
0.6883709056282671,0.10186328848600922,0.10186328848600922,0.06981317007977318,0.20943951023931953
0.6264946676673723,0.11229000407278678,0.11229000407278678,0.06981317007977318,0.2617993877991494
0.552439475177983,0.1213701172786044,0.1213701172786044,0.06981317007977318,0.3141592653589793
0.46980936974462356,0.130222354249769,0.130222354249769,0.06981317007977318,0.3665191429188092
0.37601698157709135,0.13745493103624706,0.13745493103624706,0.06981317007977318,0.41887902047863906
0.9428677378608367,0.11044793095056435,0.11044793095056435,0.10471975511965977,0.0
0.9359433440473091,0.11008844349088454,0.11008844349088454,0.10471975511965977,0.05235987755982988
0.9201418139695371,0.11084620169060515,0.11084620169060515,0.10471975511965977,0.10471975511965977
0.8842336706636061,0.11366488805208524,0.11366488805208524,0.10471975511965977,0.15707963267948966
0.8395368425781491,0.11843952849870674,0.11843952849870674,0.10471975511965977,0.20943951023931953
0.7511640087978289,0.1284093882171536,0.1284093882171536,0.10471975511965977,0.2617993877991494
0.635851056698245,0.13363003068113088,0.13363003068113088,0.10471975511965977,0.3141592653589793
0.5452261588106024,0.13842864669707516,0.13842864669707516,0.10471975511965977,0.3665191429188092
0.4822465560665979,0.14431243107097064,0.14431243107097064,0.10471975511965977,0.41887902047863906
